case_id,condition,direct_voxels,membership_rows,labels_identical,group_ids_identical,full_grid_direct_coordinates_identical,full_grid_membership_coordinates_identical,direct_points_lost,membership_points_lost
radiopaedia_10_85902_3,complete_fixed_75,41,17,True,True,True,True,0,0
radiopaedia_10_85902_3,component_fixed_25,39,15,True,True,True,True,0,0
radiopaedia_10_85902_3,component_fixed_50,43,19,True,True,True,True,0,0
radiopaedia_10_85902_3,component_fixed_75,41,17,True,True,True,True,0,0
radiopaedia_10_85902_3,component_natural_25,36,12,True,True,True,True,0,0
radiopaedia_10_85902_3,component_natural_50,36,12,True,True,True,True,0,0
radiopaedia_10_85902_3,component_natural_75,46,22,True,True,True,True,0,0
radiopaedia_10_85902_3,pixel_dropout_matched_25,36,12,True,True,True,True,0,0
radiopaedia_10_85902_3,pixel_dropout_matched_50,36,12,True,True,True,True,0,0
radiopaedia_10_85902_3,pixel_dropout_matched_75,46,22,True,True,True,True,0,0
radiopaedia_4_85506_1,complete,530,240,True,True,True,True,0,0
radiopaedia_4_85506_1,complete_fixed_25,357,67,True,True,True,True,0,0
radiopaedia_4_85506_1,complete_fixed_50,449,159,True,True,True,True,0,0
radiopaedia_4_85506_1,complete_fixed_75,529,239,True,True,True,True,0,0
radiopaedia_4_85506_1,component_fixed_25,357,67,True,True,True,True,0,0
radiopaedia_4_85506_1,component_fixed_50,449,159,True,True,True,True,0,0
radiopaedia_4_85506_1,component_fixed_75,529,239,True,True,True,True,0,0
radiopaedia_4_85506_1,component_natural_25,340,50,True,True,True,True,0,0
radiopaedia_4_85506_1,component_natural_50,384,94,True,True,True,True,0,0
radiopaedia_4_85506_1,component_natural_75,462,172,True,True,True,True,0,0
radiopaedia_4_85506_1,pixel_dropout_matched_25,340,50,True,True,True,True,0,0
radiopaedia_4_85506_1,pixel_dropout_matched_50,384,94,True,True,True,True,0,0
radiopaedia_4_85506_1,pixel_dropout_matched_75,462,172,True,True,True,True,0,0
coronacases_006,complete,52,30,True,True,True,True,0,0
coronacases_006,complete_fixed_25,50,28,True,True,True,True,0,0
coronacases_006,complete_fixed_50,52,30,True,True,True,True,0,0
coronacases_006,complete_fixed_75,52,30,True,True,True,True,0,0
coronacases_006,component_fixed_25,50,28,True,True,True,True,0,0
coronacases_006,component_fixed_50,52,30,True,True,True,True,0,0
coronacases_006,component_fixed_75,52,30,True,True,True,True,0,0
coronacases_006,component_natural_25,36,14,True,True,True,True,0,0
coronacases_006,component_natural_50,36,14,True,True,True,True,0,0
coronacases_006,component_natural_75,52,30,True,True,True,True,0,0
coronacases_006,pixel_dropout_matched_25,36,14,True,True,True,True,0,0
coronacases_006,pixel_dropout_matched_50,36,14,True,True,True,True,0,0
coronacases_006,pixel_dropout_matched_75,52,30,True,True,True,True,0,0
coronacases_007,complete,128,72,True,True,True,True,0,0
coronacases_007,complete_fixed_25,128,72,True,True,True,True,0,0
coronacases_007,complete_fixed_50,128,72,True,True,True,True,0,0
coronacases_007,complete_fixed_75,128,72,True,True,True,True,0,0
coronacases_007,component_fixed_25,128,72,True,True,True,True,0,0
coronacases_007,component_fixed_50,128,72,True,True,True,True,0,0
coronacases_007,component_fixed_75,128,72,True,True,True,True,0,0
coronacases_007,component_natural_25,84,28,True,True,True,True,0,0
coronacases_007,component_natural_50,100,44,True,True,True,True,0,0
coronacases_007,component_natural_75,110,54,True,True,True,True,0,0
coronacases_007,pixel_dropout_matched_25,84,28,True,True,True,True,0,0
coronacases_007,pixel_dropout_matched_50,100,44,True,True,True,True,0,0
coronacases_007,pixel_dropout_matched_75,110,54,True,True,True,True,0,0
radiopaedia_36_86526_0,complete,717,331,True,True,True,True,0,0
radiopaedia_36_86526_0,complete_fixed_25,503,117,True,True,True,True,0,0
radiopaedia_36_86526_0,complete_fixed_50,626,240,True,True,True,True,0,0
radiopaedia_36_86526_0,complete_fixed_75,714,328,True,True,True,True,0,0
radiopaedia_36_86526_0,component_fixed_25,503,117,True,True,True,True,0,0
radiopaedia_36_86526_0,component_fixed_50,626,240,True,True,True,True,0,0
radiopaedia_36_86526_0,component_fixed_75,714,328,True,True,True,True,0,0
radiopaedia_36_86526_0,component_natural_25,469,83,True,True,True,True,0,0
radiopaedia_36_86526_0,component_natural_50,550,164,True,True,True,True,0,0
radiopaedia_36_86526_0,component_natural_75,629,243,True,True,True,True,0,0
radiopaedia_36_86526_0,pixel_dropout_matched_25,469,83,True,True,True,True,0,0
radiopaedia_36_86526_0,pixel_dropout_matched_50,550,164,True,True,True,True,0,0
radiopaedia_36_86526_0,pixel_dropout_matched_75,629,243,True,True,True,True,0,0
radiopaedia_7_85703_0,complete,102,46,True,True,True,True,0,0
radiopaedia_7_85703_0,complete_fixed_25,100,44,True,True,True,True,0,0
radiopaedia_7_85703_0,complete_fixed_50,102,46,True,True,True,True,0,0
radiopaedia_7_85703_0,complete_fixed_75,96,40,True,True,True,True,0,0
radiopaedia_7_85703_0,component_fixed_25,100,44,True,True,True,True,0,0
radiopaedia_7_85703_0,component_fixed_50,102,46,True,True,True,True,0,0
radiopaedia_7_85703_0,component_fixed_75,96,40,True,True,True,True,0,0
radiopaedia_7_85703_0,component_natural_25,71,15,True,True,True,True,0,0
radiopaedia_7_85703_0,component_natural_50,81,25,True,True,True,True,0,0
radiopaedia_7_85703_0,component_natural_75,98,42,True,True,True,True,0,0
radiopaedia_7_85703_0,pixel_dropout_matched_25,71,15,True,True,True,True,0,0
radiopaedia_7_85703_0,pixel_dropout_matched_50,81,25,True,True,True,True,0,0
radiopaedia_7_85703_0,pixel_dropout_matched_75,98,42,True,True,True,True,0,0
coronacases_001,complete,593,314,True,True,True,True,0,0
coronacases_001,complete_fixed_25,490,211,True,True,True,True,0,0
coronacases_001,complete_fixed_50,556,277,True,True,True,True,0,0
coronacases_001,complete_fixed_75,593,314,True,True,True,True,0,0
coronacases_001,component_fixed_25,490,211,True,True,True,True,0,0
coronacases_001,component_fixed_50,556,277,True,True,True,True,0,0
coronacases_001,component_fixed_75,593,314,True,True,True,True,0,0
coronacases_001,component_natural_25,363,84,True,True,True,True,0,0
coronacases_001,component_natural_50,427,148,True,True,True,True,0,0
coronacases_001,component_natural_75,522,243,True,True,True,True,0,0
coronacases_001,pixel_dropout_matched_25,363,84,True,True,True,True,0,0
coronacases_001,pixel_dropout_matched_50,427,148,True,True,True,True,0,0
coronacases_001,pixel_dropout_matched_75,522,243,True,True,True,True,0,0
coronacases_003,complete,659,353,True,True,True,True,0,0
coronacases_003,complete_fixed_25,566,260,True,True,True,True,0,0
coronacases_003,complete_fixed_50,659,353,True,True,True,True,0,0
coronacases_003,complete_fixed_75,659,353,True,True,True,True,0,0
coronacases_003,component_fixed_25,566,260,True,True,True,True,0,0
coronacases_003,component_fixed_50,659,353,True,True,True,True,0,0
coronacases_003,component_fixed_75,659,353,True,True,True,True,0,0
coronacases_003,component_natural_25,389,83,True,True,True,True,0,0
coronacases_003,component_natural_50,480,174,True,True,True,True,0,0
coronacases_003,component_natural_75,577,271,True,True,True,True,0,0
coronacases_003,pixel_dropout_matched_25,389,83,True,True,True,True,0,0
coronacases_003,pixel_dropout_matched_50,480,174,True,True,True,True,0,0
coronacases_003,pixel_dropout_matched_75,577,271,True,True,True,True,0,0
coronacases_009,complete,118,65,True,True,True,True,0,0
coronacases_009,complete_fixed_25,118,65,True,True,True,True,0,0
coronacases_009,complete_fixed_50,118,65,True,True,True,True,0,0
coronacases_009,complete_fixed_75,118,65,True,True,True,True,0,0
coronacases_009,component_fixed_25,118,65,True,True,True,True,0,0
coronacases_009,component_fixed_50,118,65,True,True,True,True,0,0
coronacases_009,component_fixed_75,118,65,True,True,True,True,0,0
coronacases_009,component_natural_25,72,19,True,True,True,True,0,0
coronacases_009,component_natural_50,89,36,True,True,True,True,0,0
coronacases_009,component_natural_75,97,44,True,True,True,True,0,0
coronacases_009,pixel_dropout_matched_25,72,19,True,True,True,True,0,0
coronacases_009,pixel_dropout_matched_50,89,36,True,True,True,True,0,0
coronacases_009,pixel_dropout_matched_75,97,44,True,True,True,True,0,0
radiopaedia_40_86625_0,complete,195,96,True,True,True,True,0,0
radiopaedia_40_86625_0,complete_fixed_25,161,62,True,True,True,True,0,0
radiopaedia_40_86625_0,complete_fixed_50,195,96,True,True,True,True,0,0
radiopaedia_40_86625_0,complete_fixed_75,193,94,True,True,True,True,0,0
radiopaedia_40_86625_0,component_fixed_25,161,62,True,True,True,True,0,0
radiopaedia_40_86625_0,component_fixed_50,195,96,True,True,True,True,0,0
radiopaedia_40_86625_0,component_fixed_75,193,94,True,True,True,True,0,0
radiopaedia_40_86625_0,component_natural_25,128,29,True,True,True,True,0,0
radiopaedia_40_86625_0,component_natural_50,160,61,True,True,True,True,0,0
radiopaedia_40_86625_0,component_natural_75,173,74,True,True,True,True,0,0
radiopaedia_40_86625_0,pixel_dropout_matched_25,128,29,True,True,True,True,0,0
radiopaedia_40_86625_0,pixel_dropout_matched_50,160,61,True,True,True,True,0,0
radiopaedia_40_86625_0,pixel_dropout_matched_75,173,74,True,True,True,True,0,0
coronacases_004,complete,98,61,True,True,True,True,0,0
coronacases_004,complete_fixed_25,46,9,True,True,True,True,0,0
coronacases_004,complete_fixed_50,67,30,True,True,True,True,0,0
coronacases_004,complete_fixed_75,87,50,True,True,True,True,0,0
coronacases_004,component_fixed_25,46,9,True,True,True,True,0,0
coronacases_004,component_fixed_50,67,30,True,True,True,True,0,0
coronacases_004,component_fixed_75,87,50,True,True,True,True,0,0
coronacases_004,component_natural_25,46,9,True,True,True,True,0,0
coronacases_004,component_natural_50,67,30,True,True,True,True,0,0
coronacases_004,component_natural_75,82,45,True,True,True,True,0,0
coronacases_004,pixel_dropout_matched_25,46,9,True,True,True,True,0,0
coronacases_004,pixel_dropout_matched_50,67,30,True,True,True,True,0,0
coronacases_004,pixel_dropout_matched_75,82,45,True,True,True,True,0,0
coronacases_008,complete,441,245,True,True,True,True,0,0
coronacases_008,complete_fixed_25,440,244,True,True,True,True,0,0
coronacases_008,complete_fixed_50,409,213,True,True,True,True,0,0
coronacases_008,complete_fixed_75,441,245,True,True,True,True,0,0
coronacases_008,component_fixed_25,440,244,True,True,True,True,0,0
coronacases_008,component_fixed_50,409,213,True,True,True,True,0,0
coronacases_008,component_fixed_75,441,245,True,True,True,True,0,0
coronacases_008,component_natural_25,264,68,True,True,True,True,0,0
coronacases_008,component_natural_50,320,124,True,True,True,True,0,0
coronacases_008,component_natural_75,390,194,True,True,True,True,0,0
coronacases_008,pixel_dropout_matched_25,264,68,True,True,True,True,0,0
coronacases_008,pixel_dropout_matched_50,320,124,True,True,True,True,0,0
coronacases_008,pixel_dropout_matched_75,390,194,True,True,True,True,0,0
radiopaedia_14_85914_0,complete,433,226,True,True,True,True,0,0
radiopaedia_14_85914_0,complete_fixed_25,405,198,True,True,True,True,0,0
radiopaedia_14_85914_0,complete_fixed_50,410,203,True,True,True,True,0,0
radiopaedia_14_85914_0,complete_fixed_75,431,224,True,True,True,True,0,0
radiopaedia_14_85914_0,component_fixed_25,405,198,True,True,True,True,0,0
radiopaedia_14_85914_0,component_fixed_50,410,203,True,True,True,True,0,0
radiopaedia_14_85914_0,component_fixed_75,431,224,True,True,True,True,0,0
radiopaedia_14_85914_0,component_natural_25,246,39,True,True,True,True,0,0
radiopaedia_14_85914_0,component_natural_50,297,90,True,True,True,True,0,0
radiopaedia_14_85914_0,component_natural_75,366,159,True,True,True,True,0,0
radiopaedia_14_85914_0,pixel_dropout_matched_25,246,39,True,True,True,True,0,0
radiopaedia_14_85914_0,pixel_dropout_matched_50,297,90,True,True,True,True,0,0
radiopaedia_14_85914_0,pixel_dropout_matched_75,366,159,True,True,True,True,0,0
radiopaedia_27_86410_0,complete,298,139,True,True,True,True,0,0
radiopaedia_27_86410_0,complete_fixed_25,218,59,True,True,True,True,0,0
radiopaedia_27_86410_0,complete_fixed_50,293,134,True,True,True,True,0,0
radiopaedia_27_86410_0,complete_fixed_75,289,130,True,True,True,True,0,0
radiopaedia_27_86410_0,component_fixed_25,218,59,True,True,True,True,0,0
radiopaedia_27_86410_0,component_fixed_50,293,134,True,True,True,True,0,0
radiopaedia_27_86410_0,component_fixed_75,289,130,True,True,True,True,0,0
radiopaedia_27_86410_0,component_natural_25,192,33,True,True,True,True,0,0
radiopaedia_27_86410_0,component_natural_50,231,72,True,True,True,True,0,0
radiopaedia_27_86410_0,component_natural_75,261,102,True,True,True,True,0,0
radiopaedia_27_86410_0,pixel_dropout_matched_25,192,33,True,True,True,True,0,0
radiopaedia_27_86410_0,pixel_dropout_matched_50,231,72,True,True,True,True,0,0
radiopaedia_27_86410_0,pixel_dropout_matched_75,261,102,True,True,True,True,0,0
